Date,Equity_3M,Equity_6M,Equity_12M,Equity_36M,Equity_60M,Government Bonds_3M,Government Bonds_6M,Government Bonds_12M,Government Bonds_36M,Government Bonds_60M,High Yield Bonds_3M,High Yield Bonds_6M,High Yield Bonds_12M,High Yield Bonds_36M,High Yield Bonds_60M,Leveraged Loans_3M,Leveraged Loans_6M,Leveraged Loans_12M,Leveraged Loans_36M,Leveraged Loans_60M,Commodities_3M,Commodities_6M,Commodities_12M,Commodities_36M,Commodities_60M,Long Short Equity Hedge Fund_3M,Long Short Equity Hedge Fund_6M,Long Short Equity Hedge Fund_12M,Long Short Equity Hedge Fund_36M,Long Short Equity Hedge Fund_60M,Long Short High Yield Bond_3M,Long Short High Yield Bond_6M,Long Short High Yield Bond_12M,Long Short High Yield Bond_36M,Long Short High Yield Bond_60M
2014-07-31 08:31:48.692117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31 08:31:48.692117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30 08:31:48.692117,0.030433494705798925,,,,,-0.013799087996111181,,,,,-0.01752321637026677,,,,,-0.026592738462375975,,,,,0.03732458320247356,,,,,0.06773013728209665,,,,,0.0858154560603277,,,,
2014-10-31 08:31:48.692117,0.03278985626172437,,,,,0.001146436256364014,,,,,-0.0042749677525874,,,,,-0.013441781005380404,,,,,0.025433108641989888,,,,,0.05803098934251638,,,,,0.06923381071281898,,,,
2014-11-30 08:31:48.692117,0.00562844742343338,,,,,0.05441268678519151,,,,,-0.021406765044805653,,,,,0.009645685271018278,,,,,0.031054390654622788,,,,,-0.012050567574941717,,,,,0.044983667875662325,,,,
2014-12-31 08:31:48.692117,-0.01889339318191041,0.010965109542512286,,,,0.07634127710091954,0.0614887491043572,,,,-0.024913192285033747,-0.04199984939641588,,,,0.03619298033958329,0.008637771416862838,,,,0.013511520579147174,0.05134041565566916,,,,0.014312625392665534,0.08301215875747459,,,,0.05797772118978606,0.14876856183535403,,,
2015-01-31 08:31:48.692117,-0.031084406965091516,0.0006861960602666528,,,,0.08914649255035201,0.09039512957790352,,,,-0.015102970378893965,-0.019313373420143276,,,,-0.004024860962468346,-0.01741254066821407,,,,-0.02532611316400979,-0.000537126309599345,,,,0.027958351110963342,0.08761179122883433,,,,0.052009064940264915,0.12484366141050862,,,
2015-02-28 08:31:48.692117,-0.01353442551184314,-0.007982155890809417,,,,0.060204065787770045,0.11789261754786673,,,,0.035932601936216724,0.013756636124314214,,,,0.005188596562712311,0.014884329403172858,,,,-0.05446240693980409,-0.02509931314628089,,,,0.056751624162393766,0.04401716730549521,,,,0.08006532769559938,0.1286506276806767,,,
2015-03-31 08:31:48.692117,-0.0013474325752039773,-0.020215368183684856,,,,0.04283605458869255,0.12244749080287787,,,,0.056155739772251634,0.02984352874436369,,,,-0.013746628028415753,0.021948820873199493,,,,-0.043630920136453644,-0.03070891963261735,,,,0.02007971961498356,0.034679738512487956,,,,0.022503344176395546,0.08178575798067844,,,
2015-04-30 08:31:48.692117,0.01668019990036962,-0.01492270118668415,,,,0.05896670693657757,0.1533698745875698,,,,0.04810929593864377,0.032279732288239105,,,,0.021100672211604943,0.016990883977270332,,,,-0.005327365980588361,-0.03051855767090772,,,,-0.0010729101449302725,0.02685544416749064,,,,0.021328157535327463,0.07444648000590326,,,
